Config,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem
100 56 56 64 256 1 1 0 0 1,2,85.409,7,2,3,0,3,87.333,7,4,1,0,4,85.412,7,2,3,0,5,87.678,7,4,1,0
100 56 56 64 64 1 1 0 0 1,2,83.204,7,2,1,0,3,83.903,7,2,1,0,4,84.13,7,2,1,0,5,84.166,7,2,1,0
100 56 56 64 64 3 3 1 1 1,2,97.375,7,14,1,0,3,97.096,7,14,1,0,4,85.035,7,2,13,0,5,85.271,7,2,13,0
100 56 56 256 64 1 1 0 0 1,2,85.095,7,2,5,0,3,91.575,7,6,1,0,4,84.842,7,2,5,0,5,85.067,7,2,5,0
100 28 28 256 512 1 1 0 0 1,2,92.828,9,5,2,0,3,95.626,10,5,1,0,4,93.092,9,5,2,0,5,87.093,9,2,5,0
100 28 28 256 128 1 1 0 0 1,2,90.845,9,5,2,0,3,93.93,10,5,1,0,4,91.197,9,5,2,0,5,94.905,10,4,2,0
100 28 28 128 128 3 3 1 1 1,2,98.702,12,16,0,0,3,98.304,12,15,1,0,4,98.4,9,19,0,0,5,97.537,10,18,0,0
100 28 28 128 512 1 1 0 0 1,2,91.351,9,6,1,0,3,92.943,12,3,1,0,4,92.292,9,6,1,0,5,86.529,9,2,5,0
100 28 28 512 128 1 1 0 0 1,2,92.831,9,3,4,0,3,94.635,10,5,1,0,4,92.938,9,3,4,0,5,95.68,10,4,2,0
100 14 14 512 1024 1 1 0 0 1,2,93.264,9,6,1,0,3,65.764,10,3,3,0,4,93.762,9,6,1,0,5,69.896,9,2,5,0
100 14 14 512 256 1 1 0 0 1,2,95.661,9,7,0,0,3,96.435,10,5,1,0,4,96.016,9,7,0,0,5,93.485,9,7,0,0
100 14 14 256 256 3 3 1 1 1,2,92.651,12,15,1,0,3,65.757,10,12,6,0,4,95.149,9,18,1,0,5,91.176,9,17,2,0
100 14 14 256 1024 1 1 0 0 1,2,91.857,9,6,1,0,3,72.848,10,3,3,0,4,92.371,9,6,1,0,5,69.684,9,2,5,0
100 14 14 1024 256 1 1 0 0 1,2,91.512,9,5,2,0,3,70.514,10,4,2,0,4,92.021,9,5,2,0,5,90.557,9,5,2,0
100 7 7 1024 2048 1 1 0 0 1,2,80.482,9,6,1,0,3,49.969,10,3,3,0,4,81.336,9,6,1,0,5,48.065,9,5,2,0
100 7 7 1024 512 1 1 0 0 1,2,80.046,9,6,1,0,3,44.957,10,3,3,0,4,80.747,9,6,1,0,5,69.179,9,5,2,0
100 7 7 512 512 3 3 1 1 1,2,75.663,12,12,4,0,3,49.491,10,4,14,0,4,81.851,9,17,2,0,5,69.497,9,15,4,0
100 7 7 512 2048 1 1 0 0 1,2,79.754,9,6,1,0,3,47.931,10,3,3,0,4,80.315,9,6,1,0,5,46.433,9,5,2,0
100 7 7 2048 512 1 1 0 0 1,2,79.641,9,6,1,0,3,48.064,10,3,3,0,4,80.419,9,6,1,0,5,69.453,9,5,2,0
