Config,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
100 56 56 64 256 1 1 0 0 1,2,85.409,5,2,3,0,34592,89608,6475784,0,3,87.333,5,4,1,0,34592,333328,4007936,0,4,85.412,5,2,3,0,34592,89608,6475784,0,5,87.678,5,4,1,0,34592,333328,4007936,0
100 56 56 64 64 1 1 0 0 1,2,83.204,5,2,1,0,34592,89608,1593344,0,3,83.903,5,2,1,0,34592,89608,1593344,0,4,84.13,5,2,1,0,34592,89608,1593344,0,5,84.166,5,2,1,0,34592,89608,1593344,0
100 56 56 64 64 3 3 1 1 1,2,97.375,5,10,1,0,34592,952080,1782272,0,3,97.096,5,10,1,0,34592,952080,1782272,0,4,85.035,5,2,9,0,34592,89608,14794248,0,5,85.271,5,2,9,0,34592,89608,14794248,0
100 56 56 256 64 1 1 0 0 1,2,85.095,5,2,3,0,34592,89608,6475784,0,3,91.575,5,4,1,0,34592,333328,4007936,0,4,84.842,5,2,3,0,34592,89608,6475784,0,5,85.067,5,2,3,0,34592,89608,6475784,0
100 28 28 256 512 1 1 0 0 1,2,92.828,5,4,3,0,34592,882192,4587528,0,3,95.626,5,6,1,0,34592,1388056,2846720,0,4,93.092,5,4,3,0,34592,882192,4587528,0,5,87.093,5,4,3,0,34592,428560,6411272,0
100 28 28 256 128 1 1 0 0 1,2,90.845,5,4,3,0,34592,882192,2990080,0,3,93.93,5,6,1,0,34592,515600,1292288,0,4,91.197,5,4,3,0,34592,882192,2990080,0,5,94.905,5,5,2,0,34592,759304,1736712,0
100 28 28 128 128 3 3 1 1 1,2,98.702,5,13,2,0,34592,2493712,1912832,0,3,98.304,5,13,2,0,34592,2215436,2072580,0,4,98.4,5,7,8,0,34592,2526728,6214664,0,5,97.537,5,6,9,0,34592,1372680,6714120,0
100 28 28 128 512 1 1 0 0 1,2,91.351,5,5,2,0,34592,1299976,2670600,0,3,92.943,5,6,1,0,34592,773648,2197504,0,4,92.292,5,5,2,0,34592,1299976,2670600,0,5,86.529,5,4,3,0,34592,428560,5747712,0
100 28 28 512 128 1 1 0 0 1,2,92.831,5,4,3,0,34592,882192,5595136,0,3,94.635,5,6,1,0,34592,957968,2197504,0,4,92.938,5,4,3,0,34592,882192,5595136,0,5,95.68,5,5,2,0,34592,759304,2670600,0
100 14 14 512 1024 1 1 0 0 1,2,93.264,5,6,1,0,34592,1371672,3120128,0,3,65.764,5,4,3,0,34592,353296,7447048,0,4,93.762,5,6,1,0,34592,1371672,3120128,0,5,69.896,5,4,3,0,34592,672784,5158408,0
100 14 14 512 256 1 1 0 0 1,2,95.661,5,6,1,0,34592,1371672,945152,0,3,96.435,5,6,1,0,34592,1353240,1083392,0,4,96.016,5,6,1,0,34592,1371672,945152,0,5,93.485,5,6,1,0,34592,808472,1010688,0
100 14 14 256 256 3 3 1 1 1,2,92.651,5,12,3,0,34592,1201944,3773448,0,3,65.757,5,9,6,0,34592,2035220,10891276,0,4,95.149,5,12,3,0,34592,3221016,3773448,0,5,91.176,5,12,3,0,34592,3167512,3678216,0
100 14 14 256 1024 1 1 0 0 1,2,91.857,5,6,1,0,34592,839192,1936384,0,3,72.848,5,4,3,0,34592,193552,4151816,0,4,92.371,5,6,1,0,34592,839192,1936384,0,5,69.684,5,4,3,0,34592,672784,3909128,0
100 14 14 1024 256 1 1 0 0 1,2,91.512,5,4,3,0,34592,272912,3903496,0,3,70.514,5,4,3,0,34592,672784,3955208,0,4,92.021,5,4,3,0,34592,272912,3903496,0,5,90.557,5,6,1,0,34592,808472,1936384,0
100 7 7 1024 2048 1 1 0 0 1,2,80.482,6,5,1,0,54048,1021208,8716032,0,3,49.969,6,3,3,0,54048,587024,25590024,0,4,81.336,6,5,1,0,54048,1021208,8716032,0,5,48.065,6,3,3,0,54048,1168656,10271240,0
100 7 7 1024 512 1 1 0 0 1,2,80.046,6,5,1,0,54048,1021208,2123520,0,3,44.957,6,3,3,0,54048,587024,6371592,0,4,80.747,6,5,1,0,54048,1021208,2123520,0,5,69.179,6,5,1,0,54048,768024,2254592,0
100 7 7 512 512 3 3 1 1 1,2,75.663,8,9,3,0,92960,937496,11059208,0,3,49.491,6,3,11,0,54048,296208,48599312,0,4,81.851,6,11,3,0,54048,2967320,10815752,0,5,69.497,6,11,3,0,54048,3211288,10709000,0
100 7 7 512 2048 1 1 0 0 1,2,79.754,6,5,1,0,54048,558360,4552448,0,3,47.931,6,3,3,0,54048,296208,13023496,0,4,80.315,6,5,1,0,54048,558360,4552448,0,5,46.433,6,3,3,0,54048,1168656,5976584,0
100 7 7 2048 512 1 1 0 0 1,2,79.641,6,3,3,0,54048,99344,6006792,0,3,48.064,6,3,3,0,54048,1168656,12630280,0,4,80.419,6,3,3,0,54048,99344,6006792,0,5,69.453,6,5,1,0,54048,768024,4552448,0
